Domain,Area,Item,Year,Value
Crops and livestock products,Antigua and Barbuda,Eggplants (aubergines),2022,34.58
Crops and livestock products,Antigua and Barbuda,Fat of pigs,2022,4.21
Crops and livestock products,Antigua and Barbuda,Goat fat unrendered,2022,0.11
Crops and livestock products,Antigua and Barbuda,Hen eggs in shell fresh,2022,1137.07
Crops and livestock products,Antigua and Barbuda,Hen eggs in shell fresh,2022,22741
Crops and livestock products,Antigua and Barbuda,Lemons and limes,2022,437.17
Crops and livestock products,Antigua and Barbuda,Lettuce and chicory,2022,28.77
Crops and livestock products,Antigua and Barbuda,Maize (corn),2022,15.74
Crops and livestock products,Antigua and Barbuda,Mangoes guavas and mangosteens,2022,1409.67
Crops and livestock products,Antigua and Barbuda,Meat of cattle with the bone fresh or chilled,2022,62.68
Crops and livestock products,Antigua and Barbuda,Meat of chickens fresh or chilled,2022,88.31
Crops and livestock products,Antigua and Barbuda,Meat of goat fresh or chilled,2022,2.63
Crops and livestock products,Antigua and Barbuda,Meat of pig with the bone fresh or chilled,2022,54.57
Crops and livestock products,Antigua and Barbuda,Meat of sheep fresh or chilled,2022,3.63
Crops and livestock products,Antigua and Barbuda,Okra,2022,10.61
Crops and livestock products,Antigua and Barbuda,Onions and shallots dry (excluding dehydrated),2022,8.07
Crops and livestock products,Antigua and Barbuda,Other beans green,2022,104.98
Crops and livestock products,Antigua and Barbuda,Other tropical fruits n.e.c.,2022,6362.4
Crops and livestock products,Antigua and Barbuda,Other vegetables fresh n.e.c.,2022,193.14
Crops and livestock products,Antigua and Barbuda,Pineapples,2022,1.34
Crops and livestock products,Antigua and Barbuda,Pumpkins squash and gourds,2022,286.95
Crops and livestock products,Antigua and Barbuda,Raw hides and skins of cattle,2022,7.42
Crops and livestock products,Antigua and Barbuda,Raw hides and skins of goats or kids,2022,0.64
Crops and livestock products,Antigua and Barbuda,Raw hides and skins of sheep or lambs,2022,0.87
Crops and livestock products,Antigua and Barbuda,Raw milk of cattle,2022,1970.14
Crops and livestock products,Antigua and Barbuda,Seed cotton unginned,2022,106.33
Crops and livestock products,Antigua and Barbuda,Sheep fat unrendered,2022,0.15
Crops and livestock products,Antigua and Barbuda,Spinach,2022,8.29
Crops and livestock products,Antigua and Barbuda,Sugar cane,2022,0
Crops and livestock products,Antigua and Barbuda,Sweet potatoes,2022,145.46
Crops and livestock products,Antigua and Barbuda,Taro,2022,38.01
Crops and livestock products,Antigua and Barbuda,Tomatoes,2022,90.5
Crops and livestock products,Antigua and Barbuda,Watermelons,2022,108.61
Crops and livestock products,Antigua and Barbuda,Yams,2022,140.45
Crops and livestock products,Antigua and Barbuda,Beef and Buffalo Meat primary,2022,62.68
Crops and livestock products,Antigua and Barbuda,Cereals primary,2022,15.74
Crops and livestock products,Antigua and Barbuda,Citrus Fruit Total,2022,437.17
Crops and livestock products,Antigua and Barbuda,Eggs Primary,2022,1137.07
Crops and livestock products,Antigua and Barbuda,Fibre Crops Fibre Equivalent,2022,37.22
Crops and livestock products,Antigua and Barbuda,Fruit Primary,2022,8361.59
Crops and livestock products,Antigua and Barbuda,Meat Poultry,2022,88.31
